Sex,Age_group,Housing,Purpose,Risk_per_purpose,Credit amount,Duration,Financial_profile,Saving accounts,Checking account,Job_type,Duration_estimated,Checking_score,Saving_score,Duration_score,Job_score,Risk_per_purpose_score,Internal_Risk_Score,PD_internal
male,36-45,rent,business,bajo riesgo,6967,24,moderate / moderate,moderate,moderate,muy cualificado,19-24,0.5,0.5,0.26758052058674353,0.0,0.0,2.2675805205867436,0.44334240604068914
female,0-25,rent,furniture/equipment,alto riesgo,1282,12,little / little,little,little,cualificado,7-12,0.75,0.75,0.11647118646192987,0.3,1.0,2.91647118646193,0.5702092345632819
male,46-55,own,repairs,bajo riesgo,1288,9,moderate / little,moderate,little,cualificado,7-12,0.75,0.5,0.0824692444233059,0.3,0.0,1.632469244423306,0.3191696330248875
male,36-45,own,education,bajo riesgo,339,12,little / little,little,little,no cualificado,7-12,0.75,0.75,0.11647118646192987,0.6,0.0,2.2164711864619298,0.4333498457076301
male,36-45,own,car,bajo riesgo,3512,24,moderate / moderate,moderate,moderate,cualificado,19-24,0.5,0.5,0.26758052058674353,0.3,0.0,2.5675805205867435,0.5019964298359684
male,26-35,own,radio/TV,alto riesgo,1898,6,No_tiene / No_tiene,,,no cualificado,0-6,1.0,1.0,0.050697028491100485,0.6,1.0,3.6506970284911007,0.7137602345949084
male,36-45,own,radio/TV,alto riesgo,2872,24,moderate / No_tiene,moderate,,cualificado,19-24,1.0,0.5,0.26758052058674353,0.3,1.0,4.067580520586743,0.7952665488123649
female,26-35,own,car,bajo riesgo,1055,18,little / No_tiene,little,,cualificado,13-18,1.0,0.75,0.18946457081379978,0.3,0.0,2.2394645708137997,0.43784536075065866
male,36-45,own,domestic appliances,alto riesgo,1262,15,quite rich / No_tiene,quite rich,,cualificado,13-18,1.0,0.25,0.1522335991272839,0.3,1.0,2.702233599127284,0.5283229127453833
male,66+,free,car,bajo riesgo,7308,10,little / moderate,little,moderate,muy cualificado,7-12,0.5,0.75,0.09358387076573756,0.0,0.0,2.3435838707657375,0.458202080407088
male,36-45,own,car,bajo riesgo,909,36,quite rich / No_tiene,quite rich,,cualificado,31-36,1.0,0.25,0.43527528164806206,0.3,0.0,1.985275281648062,0.388147945366551
male,26-35,own,furniture/equipment,alto riesgo,2978,6,quite rich / No_tiene,quite rich,,cualificado,0-6,1.0,0.25,0.050697028491100485,0.3,1.0,3.6006970284911004,0.7039845639623619
female,26-35,own,furniture/equipment,alto riesgo,1131,18,little / little,little,little,cualificado,13-18,0.75,0.75,0.18946457081379978,0.3,1.0,2.9894645708137997,0.584480420238857
female,0-25,own,furniture/equipment,alto riesgo,1577,11,rich / moderate,rich,moderate,cualificado,7-12,0.5,0.0,0.10492336888023829,0.3,1.0,1.9049233688802383,0.37243806868828383
female,0-25,rent,furniture/equipment,alto riesgo,3972,24,little / No_tiene,little,,cualificado,19-24,1.0,0.75,0.26758052058674353,0.3,1.0,4.317580520586743,0.8441449019750977
male,26-35,own,business,bajo riesgo,1935,24,little / moderate,little,moderate,cualificado,19-24,0.5,0.75,0.26758052058674353,0.3,0.0,1.8175805205867437,0.35536137034777016
male,26-35,rent,car,bajo riesgo,950,15,little / little,little,little,cualificado,13-18,0.75,0.75,0.1522335991272839,0.3,0.0,1.952233599127284,0.381687853257185
female,26-35,own,furniture/equipment,alto riesgo,763,12,little / No_tiene,little,,cualificado,7-12,1.0,0.75,0.11647118646192987,0.3,1.0,3.16647118646193,0.6190875877260147
female,26-35,own,furniture/equipment,alto riesgo,2064,24,little / moderate,little,moderate,muy cualificado,19-24,0.5,0.75,0.26758052058674353,0.0,1.0,2.5175805205867436,0.4922207592034219
male,26-35,own,radio/TV,alto riesgo,1414,8,little / moderate,little,moderate,cualificado,7-12,0.5,0.75,0.0715993349974727,0.3,1.0,2.621599334997473,0.5125578325887674
male,26-35,own,education,bajo riesgo,3414,21,little / little,little,little,cualificado,19-24,0.75,0.75,0.22796289202471912,0.3,0.0,3.027962892024719,0.5920073584001355
female,46-55,own,car,bajo riesgo,7485,30,No_tiene / No_tiene,,,muy cualificado,25-30,1.0,1.0,0.34974096978557817,0.0,0.0,3.3497409697855782,0.6549192884994178
male,36-45,own,furniture/equipment,alto riesgo,2577,12,little / little,little,little,cualificado,7-12,0.75,0.75,0.11647118646192987,0.3,1.0,3.91647118646193,0.7657226472142129
male,46-55,own,radio/TV,alto riesgo,338,6,quite rich / little,quite rich,little,cualificado,0-6,0.75,0.25,0.050697028491100485,0.3,1.0,2.3506970284911004,0.459592798148698
male,26-35,rent,radio/TV,alto riesgo,1963,12,little / No_tiene,little,,muy cualificado,7-12,1.0,0.75,0.11647118646192987,0.0,1.0,2.86647118646193,0.5604335639307354
male,56-65,own,car,bajo riesgo,571,21,little / little,little,little,cualificado,19-24,0.75,0.75,0.22796289202471912,0.3,0.0,2.027962892024719,0.3964939457492045
male,26-35,own,business,bajo riesgo,9572,36,little / No_tiene,little,,cualificado,31-36,1.0,0.75,0.43527528164806206,0.3,0.0,3.485275281648062,0.6814180643429476
male,26-35,own,business,bajo riesgo,4455,36,little / moderate,little,moderate,muy cualificado,31-36,0.5,0.75,0.43527528164806206,0.0,0.0,2.685275281648062,0.5250073342222027
male,36-45,own,car,bajo riesgo,1647,21,No_tiene / little,,little,no cualificado,19-24,0.75,1.0,0.22796289202471912,0.6,0.0,2.5779628920247193,0.5040263227072166
male,46-55,own,furniture/equipment,alto riesgo,3777,24,rich / No_tiene,rich,,cualificado,19-24,1.0,0.0,0.26758052058674353,0.3,1.0,3.5675805205867435,0.6975098424868995
male,36-45,own,car,bajo riesgo,884,18,little / moderate,little,moderate,cualificado,13-18,0.5,0.75,0.18946457081379978,0.3,0.0,1.7394645708138,0.3400886544251932
male,26-35,own,radio/TV,alto riesgo,1360,15,little / No_tiene,little,,cualificado,13-18,1.0,0.75,0.1522335991272839,0.3,1.0,3.202233599127284,0.6260796190708489
female,66+,free,car,bajo riesgo,5129,9,little / moderate,little,moderate,muy cualificado,7-12,0.5,0.75,0.0824692444233059,0.0,0.0,2.332469244423306,0.4560290218805393
male,66+,free,car,bajo riesgo,1175,16,little / moderate,little,moderate,desempleado,13-18,0.5,0.75,0.16449207666095705,1.0,0.0,2.4144920766609568,0.47206558572661717
male,0-25,own,radio/TV,alto riesgo,674,12,moderate / little,moderate,little,cualificado,7-12,0.75,0.5,0.11647118646192987,0.3,1.0,2.66647118646193,0.5213308814005491
female,26-35,own,furniture/equipment,alto riesgo,3244,18,little / moderate,little,moderate,cualificado,13-18,0.5,0.75,0.18946457081379978,0.3,1.0,3.7394645708137997,0.7311154797270553
male,46-55,own,business,bajo riesgo,4591,24,rich / No_tiene,rich,,muy cualificado,19-24,1.0,0.0,0.26758052058674353,0.0,0.0,2.2675805205867436,0.44334240604068914
male,26-35,free,business,bajo riesgo,3844,48,moderate / moderate,moderate,moderate,no cualificado,43-48,0.5,0.5,0.6147386076544852,0.6,0.0,3.214738607654485,0.628524515963231
male,36-45,own,business,bajo riesgo,3915,27,little / moderate,little,moderate,cualificado,25-30,0.5,0.75,0.30820346803447984,0.3,0.0,2.8582034680344797,0.5588171140861475
male,26-35,rent,radio/TV,alto riesgo,2108,6,little / No_tiene,little,,cualificado,0-6,1.0,0.75,0.050697028491100485,0.3,1.0,3.1006970284911004,0.6062278576368964
male,0-25,rent,radio/TV,alto riesgo,3031,45,moderate / moderate,moderate,moderate,cualificado,43-48,0.5,0.5,0.5689263134456501,0.3,1.0,3.86892631344565,0.7564269868367449
female,26-35,own,education,bajo riesgo,1501,9,little / moderate,little,moderate,muy cualificado,7-12,0.5,0.75,0.0824692444233059,0.0,0.0,1.332469244423306,0.26051560922960815
female,26-35,own,radio/TV,alto riesgo,1382,6,little / No_tiene,little,,cualificado,0-6,1.0,0.75,0.050697028491100485,0.3,1.0,3.1006970284911004,0.6062278576368964
female,26-35,rent,furniture/equipment,alto riesgo,951,12,moderate / moderate,moderate,moderate,cualificado,7-12,0.5,0.5,0.11647118646192987,0.3,1.0,2.41647118646193,0.4724525282378163
male,36-45,free,car,bajo riesgo,2760,24,No_tiene / moderate,,moderate,cualificado,19-24,0.5,1.0,0.26758052058674353,0.3,0.0,3.0675805205867435,0.599753136161434
male,36-45,own,furniture/equipment,alto riesgo,4297,18,little / moderate,little,moderate,muy cualificado,13-18,0.5,0.75,0.18946457081379978,0.0,1.0,3.4394645708138,0.672461455931776
male,46-55,own,education,bajo riesgo,936,9,quite rich / No_tiene,quite rich,,cualificado,7-12,1.0,0.25,0.0824692444233059,0.3,0.0,1.632469244423306,0.3191696330248875
male,26-35,own,car,bajo riesgo,1168,12,little / little,little,little,no cualificado,7-12,0.75,0.75,0.11647118646192987,0.6,0.0,2.2164711864619298,0.4333498457076301
male,26-35,own,business,bajo riesgo,5117,27,little / No_tiene,little,,cualificado,25-30,1.0,0.75,0.30820346803447984,0.3,0.0,3.3582034680344797,0.656573820411613
male,0-25,rent,education,bajo riesgo,902,12,little / little,little,little,cualificado,7-12,0.75,0.75,0.11647118646192987,0.3,0.0,1.91647118646193,0.3746958219123508
male,36-45,own,car,bajo riesgo,1495,12,little / No_tiene,little,,no cualificado,7-12,1.0,0.75,0.11647118646192987,0.6,0.0,2.4664711864619298,0.48222819887036283
male,36-45,free,car,bajo riesgo,10623,30,little / little,little,little,muy cualificado,25-30,0.75,0.75,0.34974096978557817,0.0,0.0,2.8497409697855782,0.5571625821739523
male,36-45,own,furniture/equipment,alto riesgo,1935,12,little / No_tiene,little,,cualificado,7-12,1.0,0.75,0.11647118646192987,0.3,1.0,3.16647118646193,0.6190875877260147
male,26-35,own,domestic appliances,alto riesgo,1424,12,little / moderate,little,moderate,cualificado,7-12,0.5,0.75,0.11647118646192987,0.3,1.0,2.66647118646193,0.5213308814005491
male,0-25,own,business,bajo riesgo,6568,24,little / little,little,little,no cualificado,19-24,0.75,0.75,0.26758052058674353,0.6,0.0,3.3675805205867437,0.6584071599567133
male,46-55,own,car,bajo riesgo,1413,12,rich / No_tiene,rich,,cualificado,7-12,1.0,0.0,0.11647118646192987,0.3,0.0,1.41647118646193,0.2769391155868853
male,26-35,own,radio/TV,alto riesgo,3074,9,No_tiene / No_tiene,,,cualificado,7-12,1.0,1.0,0.0824692444233059,0.3,1.0,4.382469244423306,0.8568315178149479
female,36-45,own,radio/TV,alto riesgo,3835,36,No_tiene / No_tiene,,,no cualificado,31-36,1.0,1.0,0.43527528164806206,0.6,1.0,5.035275281648062,0.9844638539518907
male,46-55,own,business,bajo riesgo,5293,27,little / little,little,little,cualificado,25-30,0.75,0.75,0.30820346803447984,0.3,0.0,3.1082034680344797,0.6076954672488803
male,66+,own,business,bajo riesgo,1908,30,little / rich,little,rich,muy cualificado,25-30,0.0,0.75,0.34974096978557817,0.0,0.0,1.0997409697855782,0.21501411003482288
male,46-55,own,radio/TV,alto riesgo,3342,36,No_tiene / No_tiene,,,cualificado,31-36,1.0,1.0,0.43527528164806206,0.3,1.0,4.735275281648062,0.9258098301566114
female,36-45,own,education,bajo riesgo,932,6,No_tiene / moderate,,moderate,no cualificado,0-6,0.5,1.0,0.050697028491100485,0.6,0.0,2.1506970284911007,0.42049011561851185
male,26-35,own,business,bajo riesgo,3104,18,little / little,little,little,cualificado,13-18,0.75,0.75,0.18946457081379978,0.3,0.0,2.9894645708137997,0.584480420238857
male,0-25,own,radio/TV,alto riesgo,3913,36,little / rich,little,rich,cualificado,31-36,0.0,0.75,0.43527528164806206,0.3,1.0,3.485275281648062,0.6814180643429476
male,0-25,rent,furniture/equipment,alto riesgo,3021,24,little / little,little,little,no cualificado,19-24,0.75,0.75,0.26758052058674353,0.6,1.0,4.367580520586744,0.8539205726076444
female,56-65,own,car,bajo riesgo,1364,10,little / No_tiene,little,,cualificado,7-12,1.0,0.75,0.09358387076573756,0.3,0.0,2.1435838707657373,0.4190993978769017
male,26-35,own,radio/TV,alto riesgo,625,12,little / moderate,little,moderate,no cualificado,7-12,0.5,0.75,0.11647118646192987,0.6,1.0,2.9664711864619298,0.5799849051958283
female,0-25,rent,education,bajo riesgo,1200,12,No_tiene / little,,little,cualificado,7-12,0.75,1.0,0.11647118646192987,0.3,0.0,2.16647118646193,0.42357417507508355
male,26-35,own,radio/TV,alto riesgo,707,12,little / No_tiene,little,,cualificado,7-12,1.0,0.75,0.11647118646192987,0.3,1.0,3.16647118646193,0.6190875877260147
male,26-35,own,business,bajo riesgo,2978,24,No_tiene / No_tiene,,,cualificado,19-24,1.0,1.0,0.26758052058674353,0.3,0.0,3.5675805205867435,0.6975098424868995
male,26-35,own,car,bajo riesgo,4657,15,little / No_tiene,little,,cualificado,13-18,1.0,0.75,0.1522335991272839,0.3,0.0,3.2022335991272834,0.6260796190708487
male,26-35,own,repairs,bajo riesgo,2613,36,little / No_tiene,little,,cualificado,31-36,1.0,0.75,0.43527528164806206,0.3,0.0,3.485275281648062,0.6814180643429476
male,26-35,own,radio/TV,alto riesgo,10961,48,rich / moderate,rich,moderate,cualificado,43-48,0.5,0.0,0.6147386076544852,0.3,1.0,3.414738607654485,0.6676271984934171
male,46-55,free,furniture/equipment,alto riesgo,7865,12,little / little,little,little,muy cualificado,7-12,0.75,0.75,0.11647118646192987,0.0,1.0,3.61647118646193,0.7070686234189336
male,0-25,own,radio/TV,alto riesgo,1478,9,little / No_tiene,little,,cualificado,7-12,1.0,0.75,0.0824692444233059,0.3,1.0,3.132469244423306,0.6124397520012841
male,0-25,free,furniture/equipment,alto riesgo,3149,24,little / little,little,little,cualificado,19-24,0.75,0.75,0.26758052058674353,0.3,1.0,4.067580520586743,0.7952665488123649
male,26-35,own,radio/TV,alto riesgo,4210,36,little / rich,little,rich,cualificado,31-36,0.0,0.75,0.43527528164806206,0.3,1.0,3.485275281648062,0.6814180643429476
male,46-55,free,car,bajo riesgo,2507,9,quite rich / No_tiene,quite rich,,no cualificado,7-12,1.0,0.25,0.0824692444233059,0.6,0.0,2.9324692444233063,0.573337069471098
male,26-35,own,radio/TV,alto riesgo,2141,12,moderate / No_tiene,moderate,,cualificado,7-12,1.0,0.5,0.11647118646192987,0.3,1.0,2.91647118646193,0.5702092345632819
male,0-25,own,radio/TV,alto riesgo,866,18,little / moderate,little,moderate,no cualificado,13-18,0.5,0.75,0.18946457081379978,0.6,1.0,3.0394645708138,0.5942560908714036
male,36-45,own,radio/TV,alto riesgo,1544,4,little / No_tiene,little,,no cualificado,0-6,1.0,0.75,0.031165420706838875,0.6,1.0,3.381165420706839,0.6610631901397152
male,26-35,own,radio/TV,alto riesgo,1823,24,little / little,little,little,muy cualificado,19-24,0.75,0.75,0.26758052058674353,0.0,1.0,2.7675805205867436,0.5410991123661547
male,0-25,own,car,bajo riesgo,14555,6,No_tiene / moderate,,moderate,desempleado,0-6,0.5,1.0,0.050697028491100485,1.0,0.0,3.5506970284911006,0.6942088933298154
male,56-65,rent,business,bajo riesgo,2767,21,moderate / moderate,moderate,moderate,no cualificado,19-24,0.5,0.5,0.22796289202471912,0.6,0.0,2.8279628920247193,0.5529046758699494
female,26-35,own,radio/TV,alto riesgo,1291,12,little / No_tiene,little,,cualificado,7-12,1.0,0.75,0.11647118646192987,0.3,1.0,3.16647118646193,0.6190875877260147
male,36-45,own,radio/TV,alto riesgo,2522,30,little / little,little,little,cualificado,25-30,0.75,0.75,0.34974096978557817,0.3,1.0,4.149740969785578,0.8113300186201625
female,26-35,own,car,bajo riesgo,915,24,No_tiene / little,,little,cualificado,19-24,0.75,1.0,0.26758052058674353,0.3,0.0,2.3175805205867435,0.45311807667323567
male,46-55,own,radio/TV,alto riesgo,1595,6,little / No_tiene,little,,cualificado,0-6,1.0,0.75,0.050697028491100485,0.3,1.0,3.1006970284911004,0.6062278576368964
male,0-25,free,car,bajo riesgo,4605,48,little / little,little,little,cualificado,43-48,0.75,0.75,0.6147386076544852,0.3,0.0,3.414738607654485,0.6676271984934171
female,26-35,own,business,bajo riesgo,1185,12,little / No_tiene,little,,cualificado,7-12,1.0,0.75,0.11647118646192987,0.3,0.0,2.16647118646193,0.42357417507508355
female,26-35,own,education,bajo riesgo,3447,12,quite rich / No_tiene,quite rich,,no cualificado,7-12,1.0,0.25,0.11647118646192987,0.6,0.0,2.96647118646193,0.5799849051958285
male,0-25,own,business,bajo riesgo,1258,24,little / No_tiene,little,,cualificado,19-24,1.0,0.75,0.26758052058674353,0.3,0.0,2.3175805205867435,0.45311807667323567
male,46-55,own,radio/TV,alto riesgo,717,12,little / No_tiene,little,,cualificado,7-12,1.0,0.75,0.11647118646192987,0.3,1.0,3.16647118646193,0.6190875877260147
male,26-35,rent,car,bajo riesgo,1204,6,moderate / No_tiene,moderate,,cualificado,0-6,1.0,0.5,0.050697028491100485,0.3,0.0,1.8506970284911006,0.3618360918232325
male,26-35,own,furniture/equipment,alto riesgo,1925,24,little / rich,little,rich,cualificado,19-24,0.0,0.75,0.26758052058674353,0.3,1.0,2.317580520586744,0.4531180766732357
female,0-25,rent,radio/TV,alto riesgo,433,18,little / No_tiene,little,,cualificado,13-18,1.0,0.75,0.18946457081379978,0.3,1.0,3.2394645708137997,0.6333587734015897
female,36-45,own,car,bajo riesgo,666,6,rich / little,rich,little,no cualificado,0-6,0.75,0.0,0.050697028491100485,0.6,0.0,1.4006970284911004,0.27385505613031347
female,46-55,own,furniture/equipment,alto riesgo,2251,12,little / rich,little,rich,no cualificado,7-12,0.0,0.75,0.11647118646192987,0.6,1.0,2.4664711864619298,0.48222819887036283
female,0-25,own,car,bajo riesgo,2150,30,little / moderate,little,moderate,cualificado,25-30,0.5,0.75,0.34974096978557817,0.3,0.0,1.8997409697855783,0.37142484015556776
male,26-35,own,furniture/equipment,alto riesgo,4151,24,moderate / No_tiene,moderate,,cualificado,19-24,1.0,0.5,0.26758052058674353,0.3,1.0,4.067580520586743,0.7952665488123649
male,0-25,own,furniture/equipment,alto riesgo,2030,9,No_tiene / moderate,,moderate,cualificado,7-12,0.5,1.0,0.0824692444233059,0.3,1.0,2.882469244423306,0.5635613988385514
male,26-35,own,radio/TV,alto riesgo,7418,60,No_tiene / moderate,,moderate,no cualificado,55-60,0.5,1.0,0.8034937533355228,0.6,1.0,4.903493753335523,0.9586987976271509
male,26-35,own,radio/TV,alto riesgo,2684,24,little / No_tiene,little,,no cualificado,19-24,1.0,0.75,0.26758052058674353,0.6,1.0,4.617580520586744,0.9027989257703772
male,26-35,free,radio/TV,alto riesgo,2149,12,little / little,little,little,cualificado,7-12,0.75,0.75,0.11647118646192987,0.3,1.0,2.91647118646193,0.5702092345632819
female,0-25,own,car,bajo riesgo,3812,15,moderate / No_tiene,moderate,,cualificado,13-18,1.0,0.5,0.1522335991272839,0.3,0.0,2.9522335991272834,0.577201265908116
female,56-65,own,radio/TV,alto riesgo,1154,11,moderate / No_tiene,moderate,,no cualificado,7-12,1.0,0.5,0.10492336888023829,0.6,1.0,3.2049233688802383,0.6266055051344942
male,26-35,own,furniture/equipment,alto riesgo,1657,12,little / little,little,little,cualificado,7-12,0.75,0.75,0.11647118646192987,0.3,1.0,2.91647118646193,0.5702092345632819
female,46-55,own,radio/TV,alto riesgo,1603,24,little / little,little,little,cualificado,19-24,0.75,0.75,0.26758052058674353,0.3,1.0,3.0675805205867435,0.599753136161434
male,36-45,free,car,bajo riesgo,5302,18,little / little,little,little,muy cualificado,13-18,0.75,0.75,0.18946457081379978,0.0,0.0,2.6894645708138,0.5258263964435778
female,56-65,free,education,bajo riesgo,2748,12,little / No_tiene,little,,no cualificado,7-12,1.0,0.75,0.11647118646192987,0.6,0.0,3.46647118646193,0.677741611521294
male,26-35,own,car,bajo riesgo,1231,10,little / No_tiene,little,,no cualificado,7-12,1.0,0.75,0.09358387076573756,0.6,0.0,2.4435838707657376,0.4777534216721811
male,36-45,own,radio/TV,alto riesgo,802,15,little / moderate,little,moderate,cualificado,13-18,0.5,0.75,0.1522335991272839,0.3,1.0,2.702233599127284,0.5283229127453833
male,36-45,own,business,bajo riesgo,6304,36,No_tiene / No_tiene,,,cualificado,31-36,1.0,1.0,0.43527528164806206,0.3,0.0,3.735275281648062,0.7302964175056803
female,36-45,own,radio/TV,alto riesgo,1533,24,little / No_tiene,little,,cualificado,19-24,1.0,0.75,0.26758052058674353,0.3,1.0,3.3175805205867435,0.6486314893241667
male,36-45,own,car,bajo riesgo,8978,14,little / little,little,little,muy cualificado,13-18,0.75,0.75,0.14013759084016558,0.0,0.0,2.6401375908401654,0.5161823102531683
male,0-25,own,radio/TV,alto riesgo,999,24,No_tiene / No_tiene,,,cualificado,19-24,1.0,1.0,0.26758052058674353,0.3,1.0,3.5675805205867435,0.6975098424868995
male,26-35,own,car,bajo riesgo,2662,18,No_tiene / No_tiene,,,cualificado,13-18,1.0,1.0,0.18946457081379978,0.3,0.0,3.4894645708137997,0.6822371265643226
female,36-45,rent,furniture/equipment,alto riesgo,1402,12,quite rich / No_tiene,quite rich,,cualificado,7-12,1.0,0.25,0.11647118646192987,0.3,1.0,2.66647118646193,0.5213308814005491
male,36-45,free,car,bajo riesgo,12169,48,No_tiene / moderate,,moderate,muy cualificado,43-48,0.5,1.0,0.6147386076544852,0.0,0.0,3.114738607654485,0.6089731746981378
male,26-35,own,radio/TV,alto riesgo,3060,48,little / moderate,little,moderate,cualificado,43-48,0.5,0.75,0.6147386076544852,0.3,1.0,4.164738607654485,0.8142622579816154
male,26-35,own,repairs,bajo riesgo,11998,30,little / little,little,little,no cualificado,25-30,0.75,0.75,0.34974096978557817,0.6,0.0,3.4497409697855783,0.6744706297645109
male,26-35,own,radio/TV,alto riesgo,2697,9,little / No_tiene,little,,cualificado,7-12,1.0,0.75,0.0824692444233059,0.3,1.0,4.132469244423306,0.8079531646522152
female,26-35,own,radio/TV,alto riesgo,2404,18,little / No_tiene,little,,cualificado,13-18,1.0,0.75,0.18946457081379978,0.3,1.0,4.2394645708138,0.8288721860525209
male,46-55,own,furniture/equipment,alto riesgo,1262,12,No_tiene / little,,little,no cualificado,7-12,0.75,1.0,0.11647118646192987,0.6,1.0,3.4664711864619298,0.677741611521294
female,26-35,own,furniture/equipment,alto riesgo,4611,6,little / No_tiene,little,,cualificado,0-6,1.0,0.75,0.050697028491100485,0.3,1.0,4.1006970284911,0.8017412702878274
male,26-35,rent,radio/TV,alto riesgo,1901,24,moderate / No_tiene,moderate,,muy cualificado,19-24,1.0,0.5,0.26758052058674353,0.0,1.0,2.7675805205867436,0.5410991123661547
male,0-25,rent,car,bajo riesgo,3368,15,rich / No_tiene,rich,,cualificado,13-18,1.0,0.0,0.1522335991272839,0.3,0.0,2.4522335991272834,0.4794445595826505
male,46-55,own,furniture/equipment,alto riesgo,1574,12,little / No_tiene,little,,cualificado,7-12,1.0,0.75,0.11647118646192987,0.3,1.0,3.16647118646193,0.6190875877260147
male,46-55,own,radio/TV,alto riesgo,1445,18,No_tiene / rich,,rich,no cualificado,13-18,0.0,1.0,0.18946457081379978,0.6,1.0,2.7894645708138,0.5453777377086708
male,56-65,own,furniture/equipment,alto riesgo,1520,15,No_tiene / No_tiene,,,cualificado,13-18,1.0,1.0,0.1522335991272839,0.3,1.0,3.4522335991272834,0.6749579722335816
male,36-45,own,car,bajo riesgo,3878,24,moderate / moderate,moderate,moderate,cualificado,19-24,0.5,0.5,0.26758052058674353,0.3,0.0,2.5675805205867435,0.5019964298359684
female,26-35,own,car,bajo riesgo,10722,47,little / little,little,little,no cualificado,43-48,0.75,0.75,0.5994023396619937,0.6,0.0,3.6994023396619937,0.7232827761961553
male,26-35,own,car,bajo riesgo,4788,48,little / little,little,little,cualificado,43-48,0.75,0.75,0.6147386076544852,0.3,0.0,3.414738607654485,0.6676271984934171
male,26-35,free,vacation/others,alto riesgo,7582,48,moderate / moderate,moderate,moderate,muy cualificado,43-48,0.5,0.5,0.6147386076544852,0.0,1.0,3.614738607654485,0.7067298810236033
female,46-55,own,radio/TV,alto riesgo,1092,12,little / moderate,little,moderate,cualificado,7-12,0.5,0.75,0.11647118646192987,0.3,1.0,2.66647118646193,0.5213308814005491
male,46-55,own,radio/TV,alto riesgo,1024,24,little / little,little,little,cualificado,19-24,0.75,0.75,0.26758052058674353,0.3,1.0,3.0675805205867435,0.599753136161434
male,26-35,own,business,bajo riesgo,1076,12,little / No_tiene,little,,cualificado,7-12,1.0,0.75,0.11647118646192987,0.3,0.0,2.16647118646193,0.42357417507508355
male,26-35,rent,car,bajo riesgo,9398,36,little / moderate,little,moderate,muy cualificado,31-36,0.5,0.75,0.43527528164806206,0.0,0.0,2.685275281648062,0.5250073342222027
female,36-45,free,car,bajo riesgo,6419,24,little / little,little,little,muy cualificado,19-24,0.75,0.75,0.26758052058674353,0.0,0.0,2.7675805205867436,0.5410991123661547
male,56-65,free,car,bajo riesgo,4796,42,little / rich,little,rich,cualificado,37-42,0.0,0.75,0.5237211981383231,0.3,0.0,2.573721198138323,0.5031970146600667
male,46-55,own,business,bajo riesgo,7629,48,No_tiene / No_tiene,,,muy cualificado,43-48,1.0,1.0,0.6147386076544852,0.0,0.0,3.614738607654485,0.7067298810236033
female,26-35,own,furniture/equipment,alto riesgo,9960,48,little / moderate,little,moderate,cualificado,43-48,0.5,0.75,0.6147386076544852,0.3,1.0,4.164738607654485,0.8142622579816154
female,0-25,rent,car,bajo riesgo,4675,12,No_tiene / No_tiene,,,cualificado,7-12,1.0,1.0,0.11647118646192987,0.3,0.0,3.41647118646193,0.6679659408887474
male,36-45,own,car,bajo riesgo,1287,10,No_tiene / No_tiene,,,no cualificado,7-12,1.0,1.0,0.09358387076573756,0.6,0.0,2.6935838707657376,0.5266317748349139
male,36-45,own,furniture/equipment,alto riesgo,2515,18,little / No_tiene,little,,cualificado,13-18,1.0,0.75,0.18946457081379978,0.3,1.0,4.2394645708138,0.8288721860525209
male,26-35,own,furniture/equipment,alto riesgo,2745,21,rich / moderate,rich,moderate,cualificado,19-24,0.5,0.0,0.22796289202471912,0.3,1.0,3.027962892024719,0.5920073584001355
female,46-55,own,car,bajo riesgo,672,6,little / No_tiene,little,,desempleado,0-6,1.0,0.75,0.050697028491100485,1.0,0.0,2.8006970284911006,0.5475738338416171
female,36-45,own,radio/TV,alto riesgo,3804,36,little / moderate,little,moderate,cualificado,31-36,0.5,0.75,0.43527528164806206,0.3,1.0,3.985275281648062,0.7791747706684131
male,36-45,own,car,bajo riesgo,1344,24,No_tiene / rich,,rich,no cualificado,19-24,0.0,1.0,0.26758052058674353,0.6,0.0,1.8675805205867437,0.36513704098031674
male,46-55,own,car,bajo riesgo,1038,10,little / little,little,little,cualificado,7-12,0.75,0.75,0.09358387076573756,0.3,0.0,1.8935838707657375,0.370221044714169
male,36-45,free,car,bajo riesgo,10127,48,quite rich / No_tiene,quite rich,,cualificado,43-48,1.0,0.25,0.6147386076544852,0.3,0.0,3.164738607654485,0.6187488453306843
male,26-35,own,furniture/equipment,alto riesgo,1543,6,rich / No_tiene,rich,,cualificado,0-6,1.0,0.0,0.050697028491100485,0.3,1.0,2.3506970284911004,0.459592798148698
female,0-25,rent,car,bajo riesgo,4811,30,No_tiene / No_tiene,,,no cualificado,25-30,1.0,1.0,0.34974096978557817,0.6,0.0,3.9497409697855783,0.7722273360899765
male,26-35,own,radio/TV,alto riesgo,727,12,moderate / little,moderate,little,no cualificado,7-12,0.75,0.5,0.11647118646192987,0.6,1.0,2.9664711864619298,0.5799849051958283
female,0-25,own,furniture/equipment,alto riesgo,1237,8,little / moderate,little,moderate,cualificado,7-12,0.5,0.75,0.0715993349974727,0.3,1.0,2.621599334997473,0.5125578325887674
male,0-25,rent,car,bajo riesgo,276,9,little / moderate,little,moderate,no cualificado,7-12,0.5,0.75,0.0824692444233059,0.6,0.0,1.9324692444233058,0.3778236568201668
